# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Date,Country,Location,Perpetrator,Victim_Description,Victim_Age_Group,Victim_Count_Raw,Children_Involved_Context,Incident_Type,Source,Remarks
07-Apr-22 (Reported),South Sudan,"Leer County, Unity",Armed men,Woman (New mother),Adult,1,Yes (Infant involved),Rape/Beat,"Radio Tamazuj","Woman who recently gave birth was raped and beaten for three days."
14-Mar-22,South Sudan,"Abegi town, Central Equatoria",SSPDF soldiers,Women and Girl,Mixed,3 (2 women 1 girl),Yes (Girl victim),Rape,Wiki Rumours,"Two women and a girl raped by soldiers."
16-Mar-22,South Sudan,"Yei-Lasu road",SSPDF soldiers,Women,Adult,2,No/Unspecified,Rape,Wiki Rumours,"Two women raped at gunpoint; threatened with death if they reported."
25-Mar-22,South Sudan,"Yei county",SSPDF soldiers,Girls,Child/Minor,Unspecified number,Yes (Victims),Rape,Wiki Rumours,"Unspecified number of girls raped by soldiers who also looted/killed civilians."
01-Apr-22,South Sudan,"Lasu town, Central Equatoria",SSPDF soldiers,Girls,Child/Minor,Unspecified number,Yes (Victims),Rape/Beat,Wiki Rumours,"Girls beaten and raped by soldiers."
01-Apr-22,South Sudan,"Juoang area, Unity",Armed youth (Suspected SPLM-IO),Women,Adult,7,No/Unspecified,Rape,Juba Monitor,"Seven women raped by armed youth; goods looted."
09-Apr-22,South Sudan,"Near Leer town, Unity",Armed youth,Girls and Women,Mixed,22 (15 girls 7 women),Yes (Girls victims),Rape,ACLED,"15 girls and 7 women raped by armed youth attacking villages."
06-Apr-22,Myanmar,"Za kyan village, Mandalay",Soldier,Woman (20-year-old),Adult,1,No/Unspecified,Rape,ACLED,"20-year-old woman raped by soldier providing security at school exams."
12-Apr-22,Myanmar,"Ho Nawng Ka Bar village, Shan",Soldier,Woman (50-year-old),Adult,1,No/Unspecified,Sexual Assault,ACLED,"50-year-old woman sexually assaulted during attempted rape."
11-Apr-22 (Reported),Syria,"Northwest Syria",Guards/Camp Managers,Single/Widowed women,Adult,Tens of thousands (Estimate),No/Unspecified,Survival Sex,The New Arab,"Widowed/divorced women in camps forced into survival sex with guards."
04-Apr-22,Jamaica,"Kingston",Gang members,Man,Adult,1,No/Unspecified,Sexual Assault/Robbery,ACLED,"Man sexually assaulted and robbed by 8 gang members; attack filmed."
13-Apr-22,Jamaica,"Malvern village",Gang members,Woman,Adult,1,No/Unspecified,Rape,ACLED,"Woman raped by armed gang; two people killed."
19-Apr-22,Mexico,"Xalapa-Enriquez, Veracruz",Armed individuals,Woman,Adult,1,No/Unspecified,Sexual Abuse/Abduction,ACLED,"Woman abducted and sexually abused; man killed."
01-Aug-22,Burundi,"Rukoko forest",Soldier,Girl (16) and Woman (21),Mixed,2,Yes (16yo victim),Rape,SOS Torture,"Soldier raped 16-year-old girl and 21-year-old woman searching for firewood."
13-Aug-22,Burundi,"Rutumo hill, Rumonge",Imbonerakure militia,Girl (14-year-old),Child/Minor,1,Yes (Victim),Rape,SOS Torture,"14-year-old girl raped by militia member on way home."
23-Aug-22,Burundi,"Rumonge prison",Police forces,Prisoner (Male),Adult,1,No/Unspecified,Sexual Mutilation,ACLED,"Prisoner had penis and testicles cut by police."
29-Aug-22,DRC,"Baswaga village, North Kivu",Mai-Mai militia,Girl (16-year-old),Child/Minor,1,Yes (Victim),Rape,WikiRumours,"16-year-old girl allegedly raped by militia."
30-Aug-22,DRC,"Kashwa III, North Kivu",Republic Guard,Girl (18-year-old),Adult/Young Adult,1,No/Unspecified,Murder (Sexual Refusal),La Prunelle,"18-year-old girl shot dead after rejecting sexual advances."
25-Aug-22,Mali,"Gao city",Armed group,Girl,Child/Minor,1,Yes (Victim),Rape,ACLED,"Girl raped by unidentified armed group."
19-Aug-22,Mozambique,"Nambedo village, Cabo Delgado",Islamist militia,Women,Adult,3,No/Unspecified,Rape,ACLED,"Three women raped by militia while working in fields."
25-Aug-22,Nigeria,"Dogun-ruwa village, Bauchi",Local defense militia,Woman,Adult,1,No/Unspecified,Rape,Vanguard,"Woman raped by two militia members looking for her husband."
11-Aug-22,Nigeria,"Ipara town, Ogun",Armed group,Student (Female),Adult/Young Adult,1,No/Unspecified,Rape/Murder,ACLED,"Female student abducted, raped and killed."
22-Aug-22,Sudan,"Umm Katkut, North Darfur",Militiamen,Girls (14-16),Child/Minor,2,Yes (Victims),Rape,Darfur 24,"Two girls aged 14-16 raped by militiamen on farm."
14-Aug-22,Sudan,"Um Hashaba, North Darfur",Militiamen,Woman,Adult,1,No/Unspecified,Attempted Rape/Shot,ACLED,"Woman shot and wounded resisting rape by 7 militiamen."
10-Aug-22,Afghanistan,"Warsah district",Taliban commander,Woman,Adult,1,No/Unspecified,Rape,Daily News Brief,"Woman raped by Taliban commander during house search."
15-Aug-22,Afghanistan,"Abdullah Khel valley",Taliban soldiers,Woman (23-year-old),Adult,1,No/Unspecified,Sexual Assault/Kill,Subhe Kabul,"23-year-old woman sexually assaulted and killed."
27-Aug-22,Afghanistan,"Jalalabad city",Taliban members,Boy (17-year-old),Child/Minor,1,Yes (Victim),Rape,Afghanistan International,"17-year-old boy raped by two Taliban members."
30-Aug-22 (Reported),Afghanistan,"Unspecified",Taliban official,Medical student (Female),Adult,1,No/Unspecified,Rape/Torture (Jan 22),HRW,"Student forcibly married, tortured and raped by Taliban official."
26-Aug-22,India,"Bagda village, West Bengal",Border Security Forces (BSF),Woman,Adult,1,No/Unspecified,Rape,Times of India,"Woman raped by two BSF soldiers crossing border."
19-Aug-22,Myanmar,"Kani township, Sagaing",Tatmadaw soldiers,Woman (40-year-old),Adult,1,No/Unspecified,Rape/Kill,The Irrawaddy,"Woman raped and killed during raid; mother also killed."
26-Aug-22,Myanmar,"Mong Nang village, Shan",Armed group,Woman,Adult,1,No/Unspecified,Rape/Assault,ACLED,"Woman raped and assaulted by armed group member."
28-Aug-22,Myanmar,"Kani township, Sagaing",Soldiers,Women (20-40),Adult,7,No/Unspecified,Rape,The Irrawaddy,"Seven women raped during interrogations after village raid."
27-Aug-22,Myanmar,"Tha Yet Pin village, Sagaing",Tatmadaw soldier,Woman (40s),Adult,1,No/Unspecified,Rape,Myanmar Now,"Woman raped by soldier in plain clothing."
17-Aug-22,Papua New Guinea,"Bambu village, Madang",Het Wara gang,Primary school girls,Child/Minor,10,Yes (Victims),Rape,ACLED,"Ten primary school girls raped by gang members."
10-Aug-22,Ecuador,"Guayaquil",Older student,Boy (8-year-old),Child/Minor,1,Yes (Victim),Rape,GK,"8-year-old boy raped by older student; school tried to cover it up."
28-Aug-22 (Reported),Ecuador,"Santo Domingo province",Teacher,Girls (12-year-old),Child/Minor,30,Yes (Victims),Sexual Abuse,El Diario,"Around 30 girls (aged 12) sexually abused by teacher."
08-Dec-22,Angola,"Dundo village",Police officers,Women (Congolese),Adult,2,No/Unspecified,Rape,ACLED,"Two Congolese women raped by police in cell."
14-Dec-22,Cameroon,"Mankon city",Military forces,Girls,Child/Minor,Unspecified number,Yes (Victims),Sexual Harassment,ACLED,"Girls sexually harassed by soldiers at mourning ceremony."
18-Dec-22,Cameroon,"Kolofata village",Boko Haram,Women,Adult,Group,No/Unspecified,Sexual Violence (Strip),Sembe TV,"Women forced to strip naked and molested."
01-Dec-22,Central African Republic,"Bangui city",FACA soldiers,Young women,Adult,4,No/Unspecified,Rape/Death,Corbeau News,"Four women raped at military base; one died of injuries."
29-Nov-22,DRC,"Kishishe/Bambo, North Kivu",M23 militants,Women and Girls,Mixed,27 (22 women 5 girls),Yes (Girls victims),Rape,La Prunelle,"22 women and 5 girls raped by M23 militants."
06-Dec-22,DRC,"Ngokoni/Dyambu, Ituri",CODECO,Women,Adult,4,No/Unspecified,Rape,Radio Okapi,"Four women raped during raid."
11-Dec-22 (Reported),DRC,"Kasai-Oriental",Unknown (Police recorded),Unspecified,Unknown,9 cases (3 days),No/Unspecified,Sexual Violence,Radio Okapi,"Police recorded 9 sexual violence cases in 3 days."
11-Dec-22,DRC,"Bunagana village, North Kivu",M23 member,Child (8-year-old),Child/Minor,1,Yes (Victim),Rape,Media Congo,"8-year-old child raped by M23 member."
04-Dec-22 (Reported),Ethiopia,"Amhara region",TPLF members,Minors (incl. Girl),Child/Minor,5,Yes (Victims),Rape/Shot,Twitter,"Five minors raped and shot."
07-Dec-22 (Reported),Ethiopia,"Oromia region",Oromo forces,Women and Children,Mixed,Unspecified number,Yes (Children victims),Kidnap/Rape/Kill,Twitter,"Women and children kidnapped, raped and killed."
08-Dec-22 (Reported),Ethiopia,"South Wollo, Amhara",TPLF forces,Children (Statistic),Child/Minor,1 in 8 victims,Yes (Victims),Sexual Violence (Stats),Twitter,"One in eight victims of TPLF sexual violence were children."
03-Dec-22,Kenya,"Sakutiek, Narok",Police officer,Girl (16-year-old),Child/Minor,1,Yes (Victim),Rape,ACLED,"16-year-old girl raped by police officer in station."
05-Dec-22 (Reported),Mali,"Koulikoro region",Unspecified,Unknown,Unknown,3000 (Jan-Jul),No/Unspecified,GBV Stats,Studio Tamani,"3000 GBV cases recorded Jan-July 2022."
25-Dec-22,Mali,"Menaka town",Unknown individuals,Girl,Child/Minor,1,Yes (Victim),Kidnap/Rape,ACLED,"Girl kidnapped and raped for two days."
04-Dec-22,Mozambique,"Minhanha, Cabo Delgado",Islamist militia,Women,Adult,2,No/Unspecified,Rape/Kill,Club of Mozambique,"Two women raped and killed by militia."
07-Dec-22 (Reported),Nigeria,"North-east",Military,Women/Girls (Pregnant),Mixed,10000 (Abortions),Yes (Girls involved),Forced Abortion,Reuters,"Systematic forced abortions on 10,000 women/girls impregnated by insurgents (2013-present)."
22-Dec-22,Nigeria,"Dnakundna village, Niger State",Armed men,Woman,Adult,1,Yes (Children present),Rape/Kill,The Sun News,"Woman raped and killed in ambush while fleeing with 3 children."
02-Dec-22,Somalia,"Bulo Burto town",Soldiers,Woman,Adult,1,No/Unspecified,Rape,ACLED,"Woman raped by two government soldiers."
11-Dec-22,Somalia,"Balanbale village",Clan militia,Girl,Child/Minor,1,Yes (Victim),Rape,ACLED,"Girl raped by unidentified clan militia."
11-Dec-22,Somalia,"Cadale town",Soldiers,Women,Adult,2,No/Unspecified,Rape,ACLED,"Two women raped by soldiers."
23-Dec-22,Sudan,"Amuri village, South Darfur",RSF,Women,Adult,Unspecified number,No/Unspecified,Rape,Darfur Monitors,"Women raped by RSF during village attack."
24-Dec-22,South Sudan,"Pibor Area",Armed youth (Jonglei),Women and Children,Mixed,65 (16 women 49 children),Yes (Children victims),Sexual Violence/Beat,Eye Radio,"65 people kidnapped (49 children); subjected to sexual violence."
04-Dec-22 (Reported),Pakistan,"Phalia town",Police officer,Boy (19-year-old),Adult/Young Adult,1,No/Unspecified,Rape,Daily Dawn,"19-year-old boy raped by officer in station."
11-Dec-22,Papua New Guinea,"Port Moresby",Police officers,Woman,Adult,1,No/Unspecified,Sexual Assault,ACLED,"Woman sexually assaulted in vehicle by police."
08-Dec-22 (Reported),Iran,"Undisclosed",Security officers,Woman (20s),Adult,1,No/Unspecified,Sexual Violence (Shot),The Guardian,"Woman shot in genitals with birdshot pellets at protest."
07-Dec-22 (Reported),Colombia,"Caucasia",Soldier,Woman,Adult,1,No/Unspecified,Abduction/Sexual Abuse,ACLED,"Woman abducted and abused by soldier."
02-Dec-22 (Reported),Haiti,"Port-au-Prince",Gangs,Women,Adult,General,No/Unspecified,Rape (Weapon of war),Al Jazeera,"Rape used as weapon to terrorize population."
05-Dec-22 (Reported),Haiti,"Port-au-Prince",Gang rivals,Woman,Adult,1,No/Unspecified,Rape,News Room,"Woman raped by rival gang members; nephew killed."
05-Dec-22 (Reported),Haiti,"Port-au-Prince",Gang,Girl (16) and relative,Mixed,2,Yes (16yo victim),Rape,News Room,"16-year-old and female relative raped in home."
05-Dec-22 (Reported),Haiti,"Port-au-Prince",Gang,Woman,Adult,1,No/Unspecified,Rape,News Room,"Woman raped; husband kidnapped/killed."
06-Dec-22,Venezuela,"Miranda",Criminal group,Woman,Adult,1,No/Unspecified,Murder/Sexual Abuse,ACLED,"Woman found dead with signs of sexual abuse."
04-Feb-22,Burkina Faso,"Badinogou village",JNIM militants,Nurse (Female),Adult,1,No/Unspecified,Rape,ACLED,"Nurse raped in front of colleagues."
02-Feb-22 (Reported),Central African Republic,"Paoua region",Armed man,Girl (15-year-old),Child/Minor,1,Yes (Victim),Rape,France 24,"15-year-old girl raped in fields."
02-Feb-22 (Reported),Central African Republic,"Paoua region",Armed men,Woman (23-year-old),Adult,1,No/Unspecified,Rape,France 24,"23-year-old woman raped harvesting cassava."
03-Feb-22,DRC,"Kagano village, North Kivu",Armed men,Woman,Adult,1,No/Unspecified,Rape/Kidnap,Kivu Security,"Woman kidnapped and raped."
05-Feb-22,DRC,"Nyanzale village, North Kivu",Armed men,Woman,Adult,1,No/Unspecified,Rape/Kidnap,Kivu Security,"Woman kidnapped and raped in captivity."
16-Feb-22 (Reported),Ethiopia,"Chenna village, Amhara",TPLF fighters,Women and girls,Mixed,At least 30,Yes (Girls victims),Rape/Sexual Assault,Amnesty,"30 women and girls raped (Aug-Sept 2021)."
16-Feb-22 (Reported),Ethiopia,"Dib-bahir, Amhara",TPLF fighters,Student (14) and mother,Mixed,2,Yes (14yo victim),Rape,Amnesty,"14-year-old student and mother raped in home."
16-Feb-22 (Reported),Ethiopia,"Chenna village, Amhara",TPLF fighters,Woman (29-year-old),Adult,1,No/Unspecified,Rape,Amnesty,"29-year-old woman raped in home."
18-Feb-22,Sudan,"Kreinik locality, West Darfur",Armed herdsmen,Girl (13-year-old),Child/Minor,1,Yes (Victim),Rape,Radio Dabanga,"13-year-old girl raped by herdsmen."
03-Mar-22 (Reported),Ukraine,"Kherson city",Russian forces,Women,Adult,11,No/Unspecified,Rape,Rubryka,"11 women allegedly raped by occupying forces."
04-Mar-22 (Reported),Ukraine,"Kherson city",Russian forces,Girl (17-year-old),Child/Minor,1,Yes (Victim),Rape/Kill,CNN,"17-year-old girl allegedly raped and killed."
28-Dec-21,DRC,"Busekera, Goma",Mai-Mai militia,Girls (17-year-old),Child/Minor,2,Yes (Victims),Rape,Wiki Rumours,"Two 17-year-old girls raped."
28-Jan-22,DRC,"Butungera, Beni",FARDC members,Girl (10-year-old),Child/Minor,1,Yes (Victim),Rape,La Prunelle,"10-year-old girl raped by FARDC members."
19-Jan-22,DRC,"Kyeshero, Goma",Armed men,Woman,Adult,1,No/Unspecified,Rape/Torture/Death,Kivu Security,"Woman tortured and raped; died of injuries."
28-Dec-21 (Reported),Ethiopia,"North Shewa, Amhara",TPLF/OLA,Women,Adult,12,No/Unspecified,Rape,Twitter,"12 women raped during incursion."
01-Jan-22 (Reported),Ethiopia,"Galicoma, Afar",TPLF soldiers,Women and girls,Mixed,42,Yes (Girls involved),Rape,Twitter,"42 women and girls raped."
01-Jan-22 (Reported),Ethiopia,"Afar region",TPLF soldiers,Women,Adult,7,No/Unspecified,Rape,Twitter,"Seven women raped."
02-Jan-22 (Reported),Ethiopia,"Shewa Robit, Amhara",TPLF forces,Girl (13-year-old),Child/Minor,1,Yes (Victim),Abduction/Rape,Borkena,"13-year-old girl abducted and raped."
07-Jan-22 (Reported),Ethiopia,"Tigray region",Military personnel,Families,Mixed,Unspecified,Yes (Forced incest),Forced Incest/Rape,Rescue Tigrayan Rape Victims,"Families forced to rape family members."
22-Jan-22 (Reported),Ethiopia,"South Wollo, Amhara",TPLF soldiers,Women (incl 8yo and elderly),Mixed,217,Yes (8yo victim),Rape,Amhara Media,"217 women raped (incl 8yo and elderly)."
04-Jan-22 (Reported),Nigeria,"Imo state",Ebubeagu security,Women,Adult,Unspecified,No/Unspecified,Rape (Allegation),Sahara Reporters,"Accusation of recruiting Fulani to rape Igbo women."
18-Jan-22,Nigeria,"Kwaki/Ajatai, Niger state",Militia,Women,Adult,Unspecified,No/Unspecified,Rape,The Sun,"Militia assaulted villages and raped women."
18-Jan-22,Nigeria,"Kaleri, Maiduguri",Aid worker (Male),Girl (Teenage),Child/Minor,1,Yes (Victim),Rape/Suicide,Channels TV,"Teenage girl raped by aid worker; committed suicide."
31-Jan-22 (Reported),Nigeria,"Igbokoda, Ondo",Fulani herdsmen,Woman,Adult,1,No/Unspecified,Gang-rape/Kill,Sahara Reporters,"Woman gang-raped and killed on farm."
22-Jan-22,South Sudan,"Tongpiny, Juba",Police officer,Girl (11-year-old),Child/Minor,1,Yes (Victim),Rape,Eye Radio,"11-year-old girl raped by police officer."
08-Jan-22,Sudan,"Birkat Seira, North Darfur",Gunmen,Woman (40-year-old),Adult,1,No/Unspecified,Gang-rape,Radio Dabanga,"Woman gang-raped fetching water."
25-Jan-22,Sudan,"Bindisi, Central Darfur",Herdsmen,Girls (6-9 years old),Child/Minor,3,Yes (Victims),Rape,Radio Dabanga,"Three girls (6-9) raped by herdsmen."
25-Jan-22,Sudan,"Omdurman",Security forces,Students (Female),Adult,Unspecified,No/Unspecified,Rape,ACLED,"Female university students raped."
17-Jan-22,Uganda,"Kashambya",Policeman,Woman (28-year-old),Adult,1,No/Unspecified,Rape,Chimp Reports,"Woman detained in prison raped by policeman."
27-Dec-21 (Reported),India,"Nationwide",Police,Doctors (Female),Adult,Unspecified,No/Unspecified,Molestation,Twitter,"Female doctors molested during protests."
27-Dec-21 (Reported),India,"Morarabad",Policeman,Paramedic (26-year-old),Adult,1,No/Unspecified,Rape,Times of India,"Paramedic raped by policeman (Dec 2020)."
24-Jan-22,Papua New Guinea,"Kavieng",Police officers,Woman,Adult,1,No/Unspecified,Rape,Loop News,"Woman raped by 3 officers in station."
04-Jan-22 (Reported),Libya,"Border (Sudan)",Guards,Refugee (Female),Adult,1,No/Unspecified,Rape,EU Observer,"Refugee raped by guards in front of husband."
08-Jul-22,Burkina Faso,"Tankilo, Est",JNIM militants,Women,Adult,2,No/Unspecified,Rape,ACLED,"Two women raped by militants."
28-Jul-22 (Reported),Burkina Faso,"Manni commune",Armed perpetrator,Unspecified,Unknown,Multiple,No/Unspecified,Rape,Minute,"Perpetrator of multiple rapes killed by victim."
01-Jul-22,Burundi,"Kigina hill",Imbonerakure,Girl,Child/Minor,1,Yes (Victim),Sexual Abuse,ACLED,"Girl sexually abused."
13-Jul-22,Burundi,"Tanga hill",SNR/Imbonerakure,CNL Member,Adult,1,No/Unspecified,Strip/Abduct,ACLED,"CNL member abducted and stripped naked."
24-Jul-22,Burundi,"Giharo town",CNDD-FDD Head,Girl,Child/Minor,1,Yes (Victim),Sexual Abuse,ACLED,"Girl sexually abused."
05-Jul-22,DRC,"Lolwa village, Ituri",FARDC soldiers,Woman,Adult,1,No/Unspecified,Rape,News Congo,"Woman raped by two soldiers."
20-Jul-22,Ghana,"Bomso town",Police/Student,Student (Female),Adult/Young Adult,1,No/Unspecified,Rape,Ghana Web,"Student raped by police officer and another student."
21-Jul-22,Nigeria,"Maiha LGA",Army staff sergeant,Girl (4-year-old),Child/Minor,1,Yes (Victim),Rape,Sahara Reporters,"4-year-old girl raped by sergeant."
30-Jul-22 (Reported),Nigeria,"Pulka/Dikwa",Unspecified,Women/Girls,Mixed,General,Yes (Girls),Sexual Violence (Fear),UNFPA,"Sexual violence cited as top fear for displaced women/girls."
07-Jul-22,South Sudan,"Rualbet, Warrap",SSPDF soldiers,Women,Adult,Unspecified,No/Unspecified,Beat/Sexual Assault,ACLED,"Women beaten and sexually assaulted."
22-Jul-22,South Sudan,"Aweil town",Teachers,Student (Female),Child/Minor,1,Yes (Victim),Sexual Assault,Eye Radio,"Student sexually assaulted by two teachers."
29-Jul-22 (Reported),South Sudan,"Mundri West",Teacher,Student (Female),Child/Minor,1,Yes (Victim),Rape,Radio Tamazuj,"Student raped by teacher."
04-Jul-22,Sudan,"Al Abbasiya",Security force,Girls,Child/Minor,Unspecified,Yes (Victims),Strip/Beat,Dabanga Sudan,"Girls had clothes torn off; men beaten/shaved."
18-Jul-22,Sudan,"El Fasher",Unknown,Student (Female),Adult/Young Adult,1,No/Unspecified,Rape/Murder,Dabanga Sudan,"University student raped and murdered."
05-Jul-22,India,"Dudhnoi, Assam",Policemen,Woman,Adult,1,No/Unspecified,Assault/Molest,ACLED,"Woman assaulted and molested in station."
08-Jul-22,India,"Vanasthalipuram",Police inspector,Woman,Adult,1,No/Unspecified,Rape/Beat,Hindustan Times,"Woman beaten and raped at gunpoint."
26-Jun-22 (Reported),Myanmar,"General",Tatmadaw,People,Unknown,72 (since coup),No/Unspecified,Rape,Network Media Group,"72 rapes by Tatmadaw since coup."
04-Jul-22,Myanmar,"Ya Shin village",Military,Woman (26-year-old),Adult,1,No/Unspecified,Rape/Kill,Network Media Group,"26-year-old woman raped and killed during raid."
06-Jul-22,Papua New Guinea,"Gwarawon village",Gang members,Girl (15-year-old),Child/Minor,1,Yes (Victim),Abduct/Sexual Assault,ACLED,"15-year-old girl abducted and sexually assaulted."
21-Jul-22,Papua New Guinea,"Porgera",Tribesmen,Girl,Child/Minor,1,Yes (Victim),Abduct/Rape,ACLED,"Girl abducted and raped."
04-Jul-22,Russia,"Moscow",Police officer,Woman,Adult,1,No/Unspecified,Rape,ACLED,"Woman raped in police station."
13-Jul-22,Ukraine,"Luhansk",Russian soldiers,Women,Adult,8,No/Unspecified,Rape/Kill,ACLED,"8 women raped and killed."
28-Jul-22 (Reported),Ukraine,"Unspecified",Russian soldier,Soldier (Ukrainian Male),Adult,1,No/Unspecified,Castration/Kill,CNN/Kyiv Post,"Video of castration and killing of prisoner."
09-Jun-22,Burkina Faso,"Wendou town",IS Sahel,Girl,Child/Minor,1,Yes (Victim),Rape,ACLED,"Girl raped by militants."
13-Jun-22,Burundi,"Rutana",CNDD-FDD Chief,Girl,Child/Minor,1,Yes (Victim),Sexual Abuse,ACLED,"Girl sexually abused by CNDD-FDD chief."
13-Jun-22,Burundi,"Rugombo",CNDD-FDD Member,Girl,Child/Minor,1,Yes (Victim),Sexual Abuse,ACLED,"Girl sexually abused."
14-Jun-22,DRC,"Salamabila Matete",Military,Woman,Adult,1,No/Unspecified,Rape,La Prunelle,"Woman raped by military."
27-Jun-22,DRC,"Rutshuru town",Armed men,IDP Girl (13-year-old),Child/Minor,1,Yes (Victim),Rape,WikiRumours,"13-year-old IDP girl raped."
20-Jun-22 (Reported),Ethiopia,"Jari town",Military/Smugglers,Women (Tigray),Adult,Unspecified,No/Unspecified,Sexual Harassment,The Guardian,"Tigray women harassed for sex."
12-Jun-22,Ghana,"Damango",Military officers,Nursing Student,Adult,1,No/Unspecified,Rape,Daily Guide Network,"Nursing student raped by two officers."
01-Jun-22,Nigeria,"Warwadi",Armed men,Woman (26-year-old),Adult,1,No/Unspecified,Rape/Kill,Independent,"Woman raped and killed."
06-Jun-22,South Sudan,"Lainya county",Cattle herders,Teenagers,Child/Minor,2,Yes (Victims),Rape/Kill,WikiRumours,"Two teenagers raped and killed."
08-Jun-22,South Sudan,"Gumbo Sherikat",Armed men,Girl (15-year-old),Child/Minor,1,Yes (Victim),Rape/Kill,WikiRumours,"15-year-old girl raped and killed."
28-Jun-22,South Sudan,"Yei",SSPDF soldiers,Unspecified,Unknown,4 convicted,No/Unspecified,Rape (Conviction),Radio Tamazuj,"4 soldiers convicted of rape."
31-May-22,Sudan,"Kadugli",Gunmen,Women,Adult,4,No/Unspecified,Rape,Dabanga Sudan,"Four women raped by gunmen."
06-Jun-22,Sudan,"Kulbus/Saraf Omra",Tribesmen,Women,Adult,6,No/Unspecified,Rape,Radio Dabanga,"Six women raped amid clashes."
06-Jun-22,Sudan,"Abbasiya",Gunmen,Nurse,Adult,1,No/Unspecified,Rape,Dabanga Sudan,"Nurse raped at gunpoint."
06-Jun-22,Pakistan,"Islamabad",Security guard,Aid worker (Swedish),Adult,1,No/Unspecified,Rape,Arab News,"Aid worker raped by security guard."
08-Jun-22,Papua New Guinea,"Palipaka town",Militia,Woman,Adult,1,No/Unspecified,Rape/Abduct,ACLED,"Woman raped and abducted."
26-Mar-22,Ukraine,"Mariupol",Russian soldier,Girl (19-year-old),Adult/Young Adult,1,No/Unspecified,Rape,Washington Post,"19-year-old raped by soldier."
06-Jun-22,Ukraine,"Berdyansk",Russian soldier,Woman (29-year-old),Adult,1,No/Unspecified,Rape,061.au,"29-year-old woman raped."
15-Jun-22,Ukraine,"Mykhailivka",Russian soldier,Woman,Adult,1,No/Unspecified,Rape,ACLED,"Woman raped by soldier."
11-Mar-22 (Reported),Syria,"Syria (General)",Regime forces,Women/Girls,Mixed,8013 (Total),Yes (Girls),Sexual Violence (Stats),SNHR,"8013 incidents of sexual violence by regime since 2011."
01-Jun-22,Syria,"Talbisa city",NDF,Woman,Adult,1,No/Unspecified,Kidnap/Rape,SNHR,"Woman kidnapped and raped."
16-Jun-22 (Reported),Mexico,"Oaxaca",Unknown,Woman (18-year-old),Adult,1,No/Unspecified,Kill/Torture,Quadratin Oaxaca,"18-year-old found dead with signs of torture/sexual abuse."
04-Mar-22,Burkina Faso,"Pama/Nadiagou",JNIM,IDP Women,Adult,2,No/Unspecified,Rape,ACLED,"Two IDP women raped."
15-Mar-22,Burkina Faso,"Nadiagou town",JNIM,Girl,Child/Minor,1,Yes (Victim),Rape,ACLED,"Girl raped; store looted."
18-Mar-22,Cameroon,"Amchide",Boko Haram,Women and Girls (13-14),Mixed,14 (8 women 6 girls),Yes (Girls victims),Rape,SembeTv,"8 women and 6 girls raped."
05-Mar-22,DRC,"Kanyeshongo village",Armed men,Girls,Child/Minor,2,Yes (Victims),Kidnap/Rape,Kivu Security Tracker,"Two girls kidnapped and raped."
07-Mar-22,DRC,"Kabambare-centre",Mai-Mai,Women,Adult,2,No/Unspecified,Kidnap/Rape,ACLED,"Two women kidnapped and raped."
11-Mar-22,DRC,"Bukucha village",FPP-AP/NDC-R,Women,Adult,3,No/Unspecified,Rape,Kivu Security Tracker,"Three women raped during clashes."
11-Mar-22,DRC,"Rugarama (Masisi)",Unidentified men,Woman,Adult,1,No/Unspecified,Abduct/Rape,Kivu Security Tracker,"Woman abducted and raped."
12-Mar-22,DRC,"Rugarama (Rutshuru)",Armed men,Woman,Adult,1,No/Unspecified,Abduct/Rape,Kivu Security Tracker,"Woman abducted and raped."
19-Mar-22,DRC,"Nyamuragizi",Unidentified men,Woman,Adult,1,No/Unspecified,Abduct/Rape,Kivu Security Tracker,"Woman abducted and raped."
05-Mar-22,Nigeria,"Opume village",Fulani pastoralists,Woman,Adult,1,No/Unspecified,Rape/Kill,ACLED,"Woman raped and killed."
16-Mar-22,Nigeria,"Tofa/Dustin Zai",Zamfara militia,Women,Adult,Unspecified,No/Unspecified,Rape,HumAngle,"Women raped during raids."
17-Mar-22,Nigeria,"Tofa/Dan Daji",Zamfara militia,Women,Adult,Unspecified,No/Unspecified,Rape,HumAngle,"Women raped during raids."
06-Mar-22 (Reported),Sudan,"Omdurman",Police,Boys,Child/Minor,2,Yes (Victims),Strip/Parade,Radio Dabanga,"Boys stripped and paraded naked."
14-Mar-22,Sudan,"Unspecified",Security forces,Girls,Child/Minor,3,Yes (Victims),Rape,Twitter,"Three girls raped."
14-Mar-22,Sudan,"Khartoum",Police,Woman (19-year-old),Adult,1,No/Unspecified,Gang-rape,Radio Dabanga,"19-year-old gang-raped after bus stopped."
14-Mar-22,Sudan,"Khartoum",Security forces,Woman (18-year-old),Adult,1,No/Unspecified,Rape/Assault,Africa News,"18-year-old raped by security forces."
08-Mar-22,Afghanistan,"Dashti Qala",Taliban official,Girl,Child/Minor,1,Yes (Victim),Rape,ACLED,"Girl raped by Taliban official."
10-Mar-22,Afghanistan,"Farah province",Taliban official,Boy (12-year-old),Child/Minor,1,Yes (Victim),Rape,ACLED,"12-year-old boy raped."
